423	7					
211.36	152.66	145.84	1850.12	7897.98	8257.33	0
225.04	142.06	139.37	1234.91	10454.03	10758.84	0
244.69	163.66	142.09	281.44	5145.09	6628.75	0
247.83	201.46	181.46	207.58	2843.28	3846.99	0
165.07	124.02	112.07	4397.02	7625.25	8066.52	0
246.23	174.88	154.36	185.97	5531.5	7528.8	0
188.55	159.29	154.37	2922.96	6414.25	6035.1	0
204.35	178.52	171.09	3207.3	5721.71	5779.23	0
217.85	192.56	196.69	1850.94	3896.6	3601.31	0
132.58	101.07	95.63	5819.66	8093.19	8171.7	0
146.27	102.3	99.69	4775.31	8448.74	8474.81	0
199.2	157.84	146.21	3193.35	7734.73	8054.78	0
208.37	166.71	154.07	3270.01	6164.24	5539.69	0
125.93	76.91	72.05	6142.87	1655.75	1177.73	0
203.83	166.79	159.19	3011.38	6946.61	7277.51	0
197.12	149.53	142.73	2752.59	7039.23	6833.27	0
213.25	185.77	192.66	2051.06	6738.31	6564.14	0
234.81	212.93	208.1	738.64	2700.95	3127.24	0
220	184.8	183.25	2032.75	6254.36	6274.12	0
201.08	161.02	158.54	2601.2	5852.4	5678.17	0
209.44	143.92	153.44	2113.81	7838.64	7210.56	0
202.39	130.71	135.56	1863.1	6984.03	6461.62	0
210.49	158.21	164.89	2024.95	7587.92	6284.12	0
203.91	149.86	153.81	2018.68	6720.08	6111.86	0
229.74	148.57	136.93	969.16	8197.35	9439.54	0
233.57	170.13	152.07	783.63	5813.39	6499.91	0
194.74	137.84	125.82	2495.98	5712.9	6478.54	0
215.68	161.17	145.37	1676.36	6549.09	7075.26	0
211.85	161.88	146.66	1601.07	4848.13	5273.46	0
172	115.25	124.76	4997.09	7883.84	7373.1	0
243.27	180.37	196.74	433.31	8958.89	5769.47	0
240.12	122.91	138.51	497.99	10902.38	8434.58	0
236.36	159.14	166.77	639.71	8817.86	7286.83	0
252.87	206.19	200.85	55.43	4353.67	3645.85	0
252.42	202.15	201.06	62.8	3619.76	2967.42	0
206.5	161.66	159.38	3662.43	9740.47	9731.62	0
233.76	196.78	197.19	1332.88	5226.06	5114.41	0
221.2	186.21	184.15	1753.35	4223.7	4053.98	0
252.71	211.92	196.05	59.49	3254.83	3410.9	0
253	216.3	211.25	43.15	2320.39	2290.48	0
167.82	135.49	141.17	3236.42	4603.04	4601.12	0
139.12	95.13	100.08	3430	3941.22	4374.34	0
203.12	152.64	149.39	2849.46	6536.72	5735.17	0
220.01	197.42	196.1	1933.7	4316.63	4119.14	0
221.29	144.04	156.17	1112.33	9404.54	8210.43	0
228.51	141.81	147.52	1014.57	8821.2	8242.06	0
214.59	123.63	130.27	1578.72	9608.79	9452.06	0
225.81	147.25	153.69	1132.52	8366.27	7756.79	0
244.01	143.75	152.83	377.39	10809.1	8919.9	0
235.95	143.29	155.06	619.6	10090.04	8389.05	0
245.16	172.24	172.96	365.59	7768.71	6611.05	0
252.85	214.49	211.35	44.06	2337.73	2338.84	0
246.91	164.3	171.93	241.06	9309.68	7374.5	0
239.71	173.6	182.67	534.6	8999.33	7257.51	0
253.36	214.45	201.49	38.22	3108.49	3154.06	0
252.77	216.43	212.25	60.1	2234.4	2137	0
182.63	128.22	120.88	3109.71	5993.75	6302.48	0
205.03	167.18	151.83	2457.99	5667.63	6313.23	0
226.81	197.16	182.39	1327.18	4147.85	4531.47	0
180.09	124.47	114.86	2855.11	5286.91	5891.64	0
153.35	85.77	83.84	3507.04	8008.91	7798.98	0
236.51	151.15	148.87	653.9	5427.03	4734.81	0
212.46	156.85	153.55	1753.44	3731.58	3626.09	0
165.71	149.72	152.01	3614.79	5339.13	4628.02	0
102.97	50.9	65.39	7460.14	3201.13	3543.29	0
154.56	109.46	119.44	8412.55	8191.77	7709.03	0
82.17	42.48	54.87	6978.59	2641.77	3024.44	0
144.86	107.23	116.24	8173.77	8032.16	7527.33	0
112.32	64.65	79.22	7920.06	5713.41	5647.28	0
145.63	111.01	119.68	7911.6	7587.6	7121.68	0
104.67	63.88	76.5	8120.73	5936.49	5858.27	0
163.14	129	138.13	7472.44	8332.83	7662.69	0
113.48	69.25	83.55	8613.26	6622.95	6485.55	0
170.68	147.87	155.25	5896.58	6513.03	5774.79	0
114.02	71.59	82.11	8809.48	6813.76	6818.38	0
169.52	136.08	142.88	7015.8	7535.93	6934.57	0
92.14	71.16	74.17	7450.33	7796.7	8052.62	0
137.25	117.59	121.83	7420.31	8873.13	8949.07	0
